,title,price,image
0,Makaibari Smoky Mountain - Roasted Darjeeling Tea,Rs. 207.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/SM250_1_300x300.png?v=1642765849
1,Apoorva Darjeeling Black Tea Pouch,Rs. 324.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/ApoorvaBlackPouch_500gms_600x600.jpg?v=1628086098
2,Garden Harvest Loose Organic Black Whole Leaf FTGFOP1S,Rs. 750.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/Untitled-5_copy_d7db93e2-7487-4fcf-acff-e74eaf2cfdc9_350x350.jpg?v=1628089098
3,Green Elixir Chestlet - Darjeeling Green Tea,Rs. 297.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/52_300x300.png?v=1642765431
4,Apoorva Green Pouch,Rs. 360.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/ApoorvaGreenPouch_500gms_600x600.jpg?v=1642234204
5,Garden Harvest: Loose Organic Darjeeling Black Brokens,Rs. 420.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/Black_Brokens_Dry_Leaf_350x350.jpg?v=1628089868
6,Smoky Mountain (Tin Caddy) - Darjeeling Black Tea,Rs. 284.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/SMT1_300x300.png?v=1642766124
7,Apoorba Tips Chestlet Darjeeling Tea,Rs. 310.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/AT250_1_1_300x300.png?v=1642233052
8,Golden Bru (100 Tea Bags) Darjeeling Black Tea,,//cdn.shopify.com/s/files/1/0052/7686/0490/products/SAR09988_300x300.png?v=1642765247
9,Signature Chestlet Darjeeling Black Tea,Rs. 293.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/72_300x300.png?v=1642765543
10,Apoorva Darjeeling Black Tea Bag (25 Tea Bags),,//cdn.shopify.com/s/files/1/0052/7686/0490/products/ApoorvaBlackTeaCombo_600x600.jpg?v=1628086472
11,Springtime Bloom Darjeeling Black Tea,Rs. 735.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/ST1_300x300.png?v=1642766412
12,Green Bru (100 Tea Bags) Darjeeling Green Tea,Rs. 374.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/SAR09982_300x300.png?v=1642765298
13,Summer Solstice Muscatel (Tin Caddy) Darjeeling Black Tea,Rs. 572.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/3_300x300.png?v=1642766847
14,Apoorva Green Tea Bag (25 Tea Bags),Rs. 310.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/ApoorvaGreenTeaCombo_600x600.jpg?v=1602164566
15,Garden Harvest: Loose Organic Green Tea Whole Leaf,Rs. 750.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/Untitled-5_copy_fd57d650-4eb2-45ec-9715-a982e3517f04_350x350.jpg?v=1628092361
16,Summer Solstice Muscatel - Organic Darjeeling Second Flush Black Tea,Rs. 735.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/47_300x300.png?v=1642766719
17,Garden Harvest: Loose Assorted Black & Green Leaf Tea - (125g + 125g) & (250g +  250g),Rs. 750.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/Black_Tea_Whole_Leaf_Dry_350x350.jpg?v=1628089589
18,Garden Harvest: Loose Organic Darjeeling Green Fannings,,//cdn.shopify.com/s/files/1/0052/7686/0490/products/Gof_Green_Dry_350x350.jpg?v=1628090008
19,Clonal Tips Chestlet Darjeeling Black Tea,Rs. 265.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/77_300x300.png?v=1642416548
20,Darjeeling Silver Green Tea (Tin Caddy),Rs. 635.00,//cdn.shopify.com/s/files/1/0052/7686/0490/products/18_b861d0e4-41c2-4e0f-bba8-364d1110f2b1_300x300.png?v=1642418218
