,title,price,image
0,Periods Care Tea,Rs. 505.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/pcos-tea-2_360x.jpg?v=1644812617
1,Whole Leaf Green Tea,Rs. 349.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/1X8A7670_360x.png?v=1644666661
2,Liver cleanse Tea,Rs. 505.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/herbal-tea3-e1601143224602_360x.jpg?v=1644813730
3,Diabetes Care Tea,Rs. 505.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/tea-image_360x.jpg?v=1644813238
4,Ayurvedic Tea,Rs. 344.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/4_360x.jpg?v=1644668056
5,Lungs Cleanse Tea,Rs. 389.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/lung-cleanse-tea_360x.jpg?v=1644814941
6,"Heart Tea - Cardiac toner for High BP, Diabetics",Rs. 220.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/heart-tea-3-1_360x.png?v=1644666389
7,Thyroid care Tea,Rs. 505.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/thyroid-care-tea_360x.jpg?v=1644813486
8,Ayurvedic health pack (CRED),"Rs. 1,499.00",//cdn.shopify.com/s/files/1/0624/0655/7914/products/combo-pack_360x.jpg?v=1644814537
9,Kashmiri Kahwa,Rs. 390.00,//cdn.shopify.com/s/files/1/0624/0655/7914/products/21_360x.png?v=1645088792
