,title,price,image,features
0,Premium quality Kashmiri Chilli Powder (Organically Grown & Single Origin),Rs. 240.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/kashmirichilli_x360.jpg?v=1624951845,"Single Origin, Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Kashmiri Chilli Powder
Made from best quality Kashmiri Chili whole with natural oils. Sourced from the organic Chilli farmers of Kashmir
No artificial Colours/ No preservatives/No additives added
Kashmiri Chilli is widely used to impart a rich aroma as well as red colour to the dishes. It aids in boosting immunity as it is filled with Vitamin A and Vitamin C. Carefully sourced Kashmiri Chilli whole from organic farmers of Kashmir is washed several times, sundried and is grounded in our own mills. Only small batches of the powder are made so as to ensure only the best and freshest reaches our customers. No oils are extracted during the process.

How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. The powder can be stored up to one year if properly stored. As no preservatives or additives are added, the powder should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural."
1,Premium Quality Coriander Powder (Dhania Powder) (Organically Grown & Single Origin),Rs. 240.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/coriannderpowder_x360.jpg?v=1624767119,"Single Origin, Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Coriander Powder
Made from best quality whole Coriander. Sourced from the organic coriander farmers of Ramganj Mandi in Kota, Rajasthan
No artificial Colours/ No preservatives / No additives added
Our special graded coriander powder is sourced from the selected organic farmers of Ramganj Mandi in Kota, Rajasthan. Carefully sourced coriander whole is washed 2-3 times and then dried in sun. Then we make it powdered in our grinding machine and packed. We make only small batches of spice powder as the rich flavor and taste should not be lost. We ensure that you are getting the best quality safe coriander powder as our grandmothers used to make at home. It is hygienically packed. No oils extracted.

How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. The powder can be stored up to one year if properly stored. As no preservatives or additives are added, the powder should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural."
2,Premium quality Garam Masala Powder (Organically Grown & Single Origin),Rs. 240.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Garam1_x360.jpg?v=1607536802,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice mix Powder
Made from best quality spices. Sourced from the best organic farmers across India. No artificial Colours/ No preservatives / No additives added
Ingredients: Coriander, cumin, clove, black pepper, red chilli, cardamom, fennel, bay leaves powder, ginger, cinnamon, turmeric, star anise etc
Ingredients of our special graded garam masala powder is sourced from the selected organic farmers across the country. Carefully sourced spices wholes are washed 2-3 times and then dried in sun. Then we make it powdered in our grinding machine and packed. We make only small batches of spice powder as the rich flavor and taste should not be lost. We ensure that you are getting the best quality safe masala powder as our grandmothers used to make at home.  It is hygienically packed.

How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. The powder can be stored up to one year if properly stored. As no preservatives or additives are added, the powder should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural"
3,Premium Quality Cumin Powder (Jeera Sabut) (Organically Grown & Single Origin),Rs. 249.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cuminpowder_x360.jpg?v=1624951626,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Cumin Powder
No artificial Colours/ No preservatives / No additives added
Made from best quality Cumin whole with natural oils. Sourced from the organic Cumin farmers of Surendra Nagar dstrict of Gujarat
Our special graded cumin seed powder is sourced from the selected organic farmers of Surendranagar district of Gujarat. Carefully sourced cumin whole is washed 2-3 times and then dried in sun. Then we make it powdered in our grinding machine and packed. We make only small batches of spice powder as the rich flavor and taste should not be lost. We ensure that you are getting the best quality safe cumin powder as our grandmothers used to make at home. It is hygienically packed. No oils extracted.

How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. The powder can be stored up to one year if properly stored. As no preservatives or additives are added, the powder should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural."
4,Premium Quality Fennel Powder (Saunf) (Organically Grown & Single Origin),Rs. 240.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fennelpowder_x360.jpg?v=1624767482,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Fennel Powder
Made from best quality fennel whole with natural oils. Sourced from the organic fennel seeds farmers of Gujarat
No artificial Colours/ No preservatives / No additives added
Our special graded fennel seed powder is sourced from the selected organic farmers of Gujarat. Carefully sourced cumin whole is washed 2-3 times and then dried in sun. Then we make it powdered in our grinding machine and packed. We make only small batches of spice powder as the rich flavor and taste should not be lost. We ensure that you are getting the best quality safe fennel powder as our grandmothers used to make at home. It is hygienically packed. No oils extracted.

How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. The powder can be stored up to one year if properly stored. As no preservatives or additives are added, the powder should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural."
5,Premium Quality Fenugreek powder (Methi Powder) (Organically Grown & Single Origin),Rs. 299.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fenugreekpowder_x360.jpg?v=1624767557,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Fenugreek Powder
Made from best quality fenugreek whole. Sourced from the organic fenugreek farmers of Gujarat
No artificial colours/No preservatives/No additives added
Our special graded fenugreek powder is sourced from the selected organic farmers of Gujarat. Carefully sourced fenugreek whole is washed 2-3 times and then dried in sun. Then we make it powdered in our grinding machine and packed. We make only small batches of spice powder as the rich flavor and taste should not be lost. We ensure that you are getting the best quality safe fenugreek powder as our grandmothers used to make at home. It is hygienically packed. No oils extracted.

How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. Methi seed can be stored up to one to two years, if stored properly. As no preservatives or additives are added, the seed should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural"
6,Premium Quality Mustard whole - (Organically Grown & Single Origin),Rs. 229.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Mustardwhole_x360.jpg?v=1623682867,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice Whole

Best quality mustard whole . Sourced from the organic mustard farmers of Gujarat
No artificial colours/No preservatives / No additives added
Our special graded mustard is sourced from the selected organic farmers of Rajasthan. Carefully sourced mustard whole is washed 2-3 times and then dried in sun. We source and make only small batches of this spice as the rich flavor and taste should not be lost. We ensure that you are getting the best quality safe mustard as our grandmothers used to make at home. It is hygienically packed. No oils extracted.
How to store: Keep in an airtight glass jar away from heat, moisture and direct sunlight. Mustard can be stored up to one to two years if properly stored. As no preservatives or additives are added, the produce should be exposed to direct sunlight once in a while to refresh or it might develop small white patches, which is natural."
7,Premium quality Asafoetida Powder (Hing Powder),Rs. 499.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Asafetida1_x360.jpg?v=1607538152,"Special grade Asafoetida made from Natural first extract, sourced from Afghanistan
No artificial flavour or artificial colours added
Can be used in Sambar, Rasam, curries, dals, butter milk and pickles
Packed in premium glass jar
Store in a cool, dry place, away from moisture"
8,Cardamom Seed Powder - 100 gm,Rs. 499.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/812gVdQjQvL._SL1500_x360.jpg?v=1644840537,"Package Contents: 100 gm Alleppey Green Cardamom Seed Powder
We use only organically grown spices processed without the use of toxic pesticides, irradiation, or genetically engineered products. Our products are strictly grown for domestic use and not for any commercial purpose, where only the surplus is collected and traditionally processed from collection to drying to packaging. We make it powdered in traditional ways, and don’t extract any oils from our spices. We also don’t use any kind of preservatives, additives etc. on our spices.
Because of its strong and different aroma and sweet flavour, cardamom is widely used as a flavouring agent in desserts, beverages, sausage, vegetable dishes and savoury meat and fish recipes. In India, it is used to flavour coffee, tea, kheer, rice dishes and various curries. It is a key ingredient in Masala Chai and Garam Masala in India.
Minimal plastic packaging used to reduce environmental impact. Packed in food grade material. Please keep our spices in sun once in three months to get longer shelf life, as we are not treating our spices with any chemicals or preservatives.
Homestead spices from Western Ghats region of Kerala. Our spice is sustainably sourced from small farmers’ networks in Northern Kerala, India."
9,Fresh and Natural Turmeric Powder (Organically grown & Single origin produce with source details),Rs. 129.00,//cdn.shopify.com/s/files/1/0450/4161/5010/products/turmericpowder100gm_x360.jpg?v=1624952782,"Sourced from an organic and fair trade certified farmer in Wayanad, Kerala with authentic source certification in every batch.
Sourcing only local, Non-GMO variety of turmeric root only. No hybrid variety is sourced.
No fertilizer is used to grow turmeric. Only cow dung and groundnut cake is used by our farmers. Handpicked turmeric root is washed three to four times, then slice into pieces. Sun-dry it, make powder and in small batches
0% pesticide, insecticide, fungicide, preservatives etc added on our turmeric root to get longer shelf life.
Essential ingredient in most of the immunity boosters. Best for turmeric latte and ginger coffee powder. Fresh turmeric is used in spices and masalas for gravies, curries etc.
A premium quality spice whole from the house of LAW of spices. LAW India is an ethical and sustainable brand that promotes only organic and pesticide free DESI spices. We are selling pesticide free, chemical free, Non- GMO, Non-ETO, Vegan, Non-irradiated & Gluten free spices whole/powders under our brand.
NB: We also introduced economy pouches of the same product (From 500 gm to 10 kg and  save your money considerably. The product would be packed in plain aluminium coated paper pouches. If you are still looking for customised orders, please email to support@weaveskart.com"
