,Unnamed: 0,weight,title,price,image,description,method,ingredients,price_new
0,0,50 g,Dessert Chai,600,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6655393-1_Tata-Tea_1868_DessertChai_Tin_Label_50g_RIGHT.png?v=1647963224,"Flavours of premium pistachios, sweet and rich saffron and the aroma of cardamom, comes alive in this cuppa.",Bring milk to boil. (Tastes best when made only with milk) Steep 1 tsp of Dessert Chai and boil for 2-3 minutes on low flame. Tastes best with sugar. ,"Black Tea (85%), Cardamom (10%), Natural Kesar Pista Flavour",630
1,1,100 g,Caramel Green chilli,650,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6655388-1_Tea_1868_Caramel_Green_Chilli_3D_Packshots_100g_RIGHT.png?v=1648015947,"This curated tea combines the brisk sweetness of caramel with high notes of chilli, making this the perfect cup of tea for indulgent dessert evenings.",Bring a mix of water and milk in the ratio 70:30 to boil Steep 1 tsp of Achari Chai and boil for 2-3 minutes on low flame Tastes best with sugar ,"Black Tea (85%), Green Chilli (10%), Natural Caramel Flavour",682.5
2,2,100 g,Saunf Masala Chai,750,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6655389-1_Tea_1868_Saunf_Masala_Chai_3D_Packshots_100g_RIGHT.png?v=1647967989,"Saunf Masala Chai is a blend of everyday Indian kitchen flavours. This full-bodied tea has hints of cardamom, star anise, black pepper, ginger and fennel.",Bring a mix of water and milk in the ratio 70:30 to boil. Steep 1 tsp of Saunf Masala Chai and boil for 2-3 minutes on low flame. Tastes best with sugar. ,"Black Tea (61%), Fennel (11%), Black Pepper (7%), Cardamom (7%), Ginger (7%), Star Anise (7%)",787.5
3,3,100 g,Cinnamon clove,750,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6655390-1_Tea_1868_Cinnamon_Clove_3D_Packshots_100g_RIGHT.png?v=1647961790,This full-bodied smooth tea with sweet rich cinnamon and an enticing aroma of clove makes this a memorable cup of tea. ,Bring a mix of water and milk in the ratio 70:30 to boil. Steep 1 tsp of Cinnamon Clove and boil for 2-3 minutes on low flame. Tastes best with sugar. ,"Black Tea (59%), Cinnamon (17%), Black Pepper (12%), Clove (12%)",787.5
4,4,100 g,Paan Cardamom,650,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6655394-1_Tea_1868_Paan_Cardamom_3D_Packshots_100g_RIGHT.png?v=1647963312,"An after-meal green tea  that combines beetlenut leaves with  flavours of cardamom, leaving you refreshed.",Bring water to boil at 90 ℃. Put 1 and a half tsp of Paan Cardamom in a teapot and pour water. Let it brew for 2-3 minutes. ,"Green Tea (90%), Cardamom (8%), Natural Paan Flavour",682.5
5,5,50 g,Spicy Guava,600,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6655396-1_Tata-Tea_1868_SpicyGuava_Tin_Label_50g_RIGHT.png?v=1647963438,"This curated tea has flavours of spicy, tangy guava and crushed green chillies, combined with great quality green tea. ",Bring water to boil at 90 ℃. Put 1 and a half tsp of Spicy Guava in a teapot and pour water. Let it brew for 2-3 minutes. Strain into a cup and enjoy. ,"Green Tea  (87%), Green Chilli (8%), Natural Spicy Guava Flavour",630
6,6,50 g,Darjeeling Spring Blossom,1350,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6312291-1_Tata-Tea-1868-DARJEELING-SPRING-BLOSSOM-_Label-50-g_RIGHT.png?v=1614093363,"Soothe your mind as you enjoy a hot cup of tea with light, floral and delicate tasting notes.",Bring water to boil and turn the flame off Add 1 teaspoon of black tea and brew for 2-3 mins to achieve perfect strength Tastes best without milk and sugar ,Black Tea (100%),1365
7,7,50 g,Darjeeling Rare Wonder,2000,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6312272-1_Tata-Tea-1868-Darjeeling-Rare-Wonder_Label-50g_RIGHT.png?v=1614093261,Darjeeling Rare Wonder Black Tea is delicately hand-rolled and oxidized to bring out the best taste and aroma of prime flush tea leaves. ,Bring water to boil and turn the flame off Add 1 tsp of black tea and brew for 2-3 minutes to achieve perfect strength. Tastes best without milk and sugar ,Black Tea (100%),2100
8,8,100 g,Kolkata Street Chai,550,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6312270-1_Tata-Tea-1868-Kolkata-Street-Chai_Label-100g_RIGHT.png?v=1614093584,"Our Kolkata Street Chai combines the rich taste of Assam tea leaves, topped up with spices like cardamom, ginger and nutmeg. Sip the warmth in every cup. ",Bring a mix of water and milk in the ratio 70:30 to boil Steep 1 tsp of Kolkata Street Chai and boil for 2-3 minutes on low flame Tastes best with sugar ,"Tea (70%), Cardamom (12%), Nutmeg (3%), Ginger (15%)",577.5
9,9,100 g,Cream of Assam,550,https://cdn.shopify.com/s/files/1/0442/0075/5354/products/6312271-1_Tata-Tea-1868-Cream-Of-Assam_Label-100g_RIGHT.png?v=1614093209,"Enjoy a hot cup of Cream of Assam Tea, renowned for its aroma and rich malty notes. ","Bring a mixture of water and milk in the ratio 60:40, to boil Add a teaspoon of the tea and boil for 2-3 mins Tastes best with sugar ",Black Tea (100%),577.5
