,title,product_code,health,ingredients,weight,price,image
1,Green Tea Stick (Pack of 9 individually wrapped 2g each tea sticks),SKU: GTS71-9,"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole leaves Green Tea,1 Stick  = 2 grams,Rs. 310 / pk,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/0000_0019_36_03124b87-e06c-44ba-851f-9054074d09a4_900x.jpg?v=1651224533
2,"Tasty Irani Chai Tea Tin,         75g",SKU: BLD51,1. Good for heart 2. Lowers cholesterol 3. Prevents nausea 4. Clears common cold 5. Aids digestion 6. Protects liver 7. Boosts immune system 8. Good for oral health 9. Good for skin.,"Ceylon Black Tea, Cardamom, Cloves","Tea Tin, 75gms = 51 cups","Rs.1,170 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TastyIranichai_1000x.jpg?v=1597053268
4,Kashmir French Lavender Bud - Argent Flower Tea Tin                      100G,SKU: FT10,"Promotes relaxation, Aids digestion, Eases convulsions and spasms, Promotes mental wellbeing, Good for insomnia.",Whole Flowers,100 gms | 100 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09884_1000x.jpg?v=1633928032
5,Darjeeling Organic Golden Needle buds  - Platine Loose Leaf Black Tea Tin              100G,SKU: BT14,"Ideal for detox, Weight loss, Packed with anti-oxidants, Improves liver health, Good for heart.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 3,450 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT14_1000x.jpg?v=1581403555
6,"Taste of Darjeeling FTGFOP-1 ( Fine Tippy Golden Flowery Orange Pekoe, grade -1) First Flush- Loose Leaf Black Tea Tin          100G",SKU: BT19(A),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT19_A_-2_1000x.jpg?v=1623664368
7,"Organic Pride Of Darjeeling FTGFOP 2nd Flush Black Loose Leaf Tea Tin, 100G",SKU: BT24(A),"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms= 132 cups.,"Rs. 1,800/ tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_A_-2_800x.jpg?v=1623664582
9,Ayurveda Detox Tea Blend                          50G,SKU: BLD63,"Promotes detoxification, Aids digestion, Improves immunity, Treats skin, Respiratory disorders, Lowers blood pressure, Cures menstrual disorders.","Coriander, Black Cumin, Fennel seeds","Tea Pouch, 50 gms = 25 cups",Rs. 720 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD63_1000x.png?v=1573888322
11,"Organic Deccan, 200G",SKU: GT40,"Lowers cholesterol, Rich in anti-oxidants, Strengthens immune system, Aids weight loss.",South Indian Whole leave green tea,200 gms | 132 cups,"Rs.1,180 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT40_dad3033f-2af6-4d5c-922a-07ae9f80c9c1_1000x.jpg?v=1612432748
12,Exotic Green Jasmine                       75G,SKU: BLD18,1. Good for relaxation 2. Improves brain function 3. Dental health 4. Lowers diabetes 5. Rich in antioxidants 6. Improves cardiovascular health 7. Good for eyes.,"Jasmine Tea, Yellow Chrysanthemum petals, Chaoqing Green Tea","Tea Tin, 75 gms = 75 cups","Rs.1,180 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/ExoticGreen_1000x.jpg?v=1597930954
13,White Lemongrass Romance                   50G,SKU: BLD04,1. Packed with antioxidants 2. Removes toxins 3. Good for the nervous system 4. Eyes 5. Lowers cholesterol 6. Promotes detoxification 7. Possesses anti-anxiety 8. Anti-aging properties.,"Organic White Bai Mudan leaves, Jammu Lemongrass, Yellow Chrysanthemum petals","Tea Tin, 50 gms = 50 cups","Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteLemongrass_1000x.jpg?v=1597920269
15,Secret Spice                 100G,SKU: BLD54,1.Good for motion sickness 2. Asthma 3. Menstrual discomfort 4. Relieves stress 5. Good for joints 6. Prevents sleep disorders,"Ashwagandha, Ginger, Star Anise",100gms = 50 cups,Rs. 950 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SecertSpice_1000x.jpg?v=1597053609
16,Indian Organic White Bai Mudan - Platine Loose Leaf Tea                       75 G,SKU: WT04,"Packed with anti-oxidants, Anti-aging properties, Good for skin, Weight loss, Anti-bacterial.",Whole leaves White Tea,75 gms | 75 cups,"Rs. 2,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT04_1000x.jpg?v=1618036763
17,Tea Spa Tea Blend          50 G,SKU: BLD08,"Prevents respiratory, Digestive issues, Bad breath, Boosts immune system, Aids weight loss, Reduces nausea, Detoxifies the body, Promotes relaxation, Anti-depressant.","French Lavender buds, Ginger mint and Peppermint
",50 gms = 50 cups,Rs. 550 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD08_1000x.png?v=1573886619
18,Indian Moringa Powder Herbal Tea Tin                      200G,SKU: HT08,"Loaded with anti-oxidants, It boosts energy levels, Builds bodys defence mechanism, Controls hormonal imbalance, Mood swings and aids digestion.",Whole leaves Herbal Tea,200 gms | 68 cups,"Rs. 1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT08_f9b0a2e5-f015-4475-8e5f-5f1c8135471a_1000x.jpg?v=1581415360
21,Organic Pride of Darjeeling FTGFOP- 1 ( Fine Tippy Golden Flwery Orange Pekoe) First Flush- Platine Loose Leaf Black Tea Tin      100G,SKU: BT17(A),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT17_A_-2_1000x.jpg?v=1623663676
23,Ayurvedic Spell Tea Blend                         50 G,SKU: BLD34,"Relieves depression, Enhances memory, Helps fight cancer, Relieves asthma, Improves blood flow, Prevents fatigue, Promotes longevity.","Gotukola, Rosemary leaves, Ginkgo Biloba",50 gms = 25 cups,Rs. 875 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD34_1000x.png?v=1573887600
25,"Organic Gift of Darjeeling TGBOP-1 (Tippy Golden Broken Orange Pekoe) First Flush, Argent, Black Loose Leaf Tea Tin                   150 G",SKU: BT18(B),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 150 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT18_B_-1_1000x.jpg?v=1623664293
