,title,50,100,200,250,500,price,image,features
1,Fresh True Srilankan / Ceylon Cinnamon Quills  - H1 Grade ,Rs. 454,Rs. 584,Rs. 779,,Rs. 1949,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ceylonecinnammon_x360.jpg?v=1644124826,"Cinnamomum verum -H1 (Humburg Grade) imported from SriLanka.  Small batches of freshly harvested produce, directly sourced from ethically organically grown cinnamon plantations."
2,"8mm Alleppey Green Extra Bold Cardamom Whole (Single Origin, Organically Grown, 100 % Pesticide free & Homestead Produce)",Rs. 519,Rs. 909,Rs. 1819,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cardamom_x360.jpg?v=1623164352,"100% Natural & Organically grown. Sourced from a certified organic farmer in Idukki, Kerala. Single-origin produce. Non-GMO. Pesticide and chemical-free."
3,"Special Graded Malabar Black Pepper Whole (Organically Grown, Single Origin & Homestead Produce)",Rs. 194,Rs. 259,Rs. 454,,Rs. 1037,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackpepperwhole_x360.jpg?v=1623163272,"Ethically sourced from a fair traded and organic certified farmer from Wayanad, Kerala. Only the latest batch is procured and processed without the use of toxic pesticides, irradiation, or genetically engineered products."
4,"Cloves Whole (Organically Grown, Single Origin & Homestead Produce)",Rs.  324,Rs. 389,Rs.  649,,Rs.  1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Clove_e661535e-697b-4d00-b433-7d0bf40721d1_x360.jpg?v=1623164642,"100% Natural, Organically Grown, fair traded and ethically sourced cloves from Western Ghats of Kerala. Non-GMO, No Preservatives, Vegan, Gluten-free premium Gourmet Grade Spice. Handpicked, manually sourced  from a fair trade farmer in Wayanad, Kerala.  Single Origin produce and source certification details with every batch of cloves."
5,Organically Grown Dry Bay Leaves Whole,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Bayleaves_x360.jpg?v=1623162987,"100% natural, organically grown, vegan, Non- GMO, Non-ETO, Non-irradiated product. No chemicals, pesticides, preservatives added
Premium quality leaves, shade dried. Gives a pleasant aroma and enhances taste when added to dishes. Bay leaves are anti-fungal, anti-inflammatory and can be used as remedy to relieve pain, improve menstrual health, and treat cold & cough."
6,"True cinnamon (Cinnamomum verum) from Western Ghats of Kerala - Organically grown, homestead produce",Rs.  324,Rs. 389,Rs. 519,,Rs. 1170,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/keralacinnamon_d72b144b-26d9-4590-a15e-9b7d4930dc14_x360.jpg?v=1623165098,"Organically sourced, single origin and homestead produce from organic and fair trade certified farmers in Wayanad, Kerala from the World’s first and largest cinnamon plantation  in Kannur, Kerala, planted by the British. Not machine harvested.    Kerala cinnamon is just like stick as it is cut with country knives. This cinnamon is not cassia.
"
7,Fresh & Natural Black Cardamom Whole ,Rs. 324,Rs. 454,Rs. 649,,Rs. 1234,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackcardamom_x360.jpg?v=1627661017,"This premium quality Black cardamom also known as the 'Queen of Spices’ is ethically sourced from our organic women farmers of Sikkim. Handpicked, hygienically dried and packed in a glass jar to retain the freshness, flavour and aroma.
No chemicals, no pesticides or no additives added. 100% organically grown, Non- GMO produce, Gourmet Grade spice.Singe origin and homestead produce.
Used as a flavouring spice for many Indian dishes. It has many antioxidants and is a natural remedy for respiratory problems such as asthma, cold, cough and bronchitis
"
8,Gourmet Grade Vanilla Beans Whole from Kerala - Grade A Vanilla Pods for Vanilla Extract and Baking,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/IMG-20210613-WA0092_x360.jpg?v=1623588530,"100% Natural, Organic, Gourmet  Grade vanilla . Average moisture content of our vanilla pods is 33% so that these beans are soft and pliable and has a rich creamy flavour along with a heavenly aroma. Organically grown and ethically sourced gourmet grade vanilla from the fair trade farmers’ network in Kerala. No pesticides, Chemicals, Additives or Preservatives added.
"
9,Dried Star Anise Whole ,Rs. 389,Rs. 519,Rs. 779,,Rs. 1557,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/staranise_x360.jpg?v=1623201858," Each  star anise whole is handpicked and carefully sorted. 100% Natural, Non- GMO, No Preservatives and Artificial Colors, Vegan & Premium Gourmet grade spice."
10,Finest quality of Fresh & Organically grown Tamarind  (Seeds removed),Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/tamarind_x360.jpg?v=1623201950,"Tamarind  of finest quality of organically grown. Seeds are removed manually under hygienic conditions and packed as per the highest quality standards
No artificial colours and preservatives added. No added flavour added. Organic and pesticide-free. Non- GMO, Non-ETO."
11,"Mace Flower  Whole   (Organically Grown, Single Origin & Homestead Produce)",Rs. 389,Rs. 649,Rs. 1039,,Rs. 2508,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/mace_F_x360.jpg?v=1623201392," Authentic Mace, Natural, Organic, Non-GMO, No Preservatives, Free from pesticides and chemicals. Sourced  from organic and fair traded farmer in the Wayanad district of Kerala. Organically certified and ethically sourced. is very good for the digestive system healthy, Appetite, Blood Circulation. Kidneys, Cold and Cough. Mace is also good for diarrhoea, nausea, vomiting, stomachaches.
"
12,"Travancore Nutmeg Whole - Shell removed (Organically Grown, Single origin & Homestead produce)",Rs. 389,Rs. 299,,,Rs. 699,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/nutmeg_x360.jpg?v=1623201749,"Travancore Nutmeg Whole sourced from an organic certified farmer at Wayanad, in Kerala with authentic source certification details. The product is handpicked, hygienically packed, 100% natural, an organically grown local variety, produced in small batches.  Organic, pesticide-free, chemical-free, Non-irradiated, No preservatives, additives or flavours added. 
Nutmeg is a wonderful source of magnesium that helps  treat insomnia and restlessness at night.It has anti-microbial and anti-inflammatory properties. It helps in detoxifying the body, clearing out toxins from the liver and kidneys."
13,"Premium Asafoetida Whole –  (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 909,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AsafaetidaWhole_x360.jpg?v=1623682469," Premium & Limited edition Single Origin Asafoetida Whole 
"
