,title,50 G,100 G,150 G,200 G,250 G,300 G,400 G,500 G,600 G,800 G,1 Kg,weight,image,features,nutrients
1,Fresh True Srilankan / Ceylon Cinnamon Quills  - H1   (Humburg Grade)( Cinnamomun Verum),Rs. 454,Rs. 584,,Rs. 779,,,,Rs. 1949,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ceylonecinnammon_x360.jpg?v=1644124826," Small batches of freshly harvested produce, directly sourced from ethically organically grown cinnamon plantations in Sri Lanka.  Used in curries, confections, in milk, seasonings. ","Ceylon Cinnamon contains calcium, potassium, manganese, phosphorus, beta-carotene. Is anti-diabetic, anti-oxidant, ant-inflammatory, anti-microbial. Good for sore throats & coughs, lowering insulin, weight loss, cardiovascular disease"
2,Premium Quality Ceylon Cinnamon Quills,,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CeylonCinnamonQuills_x360.jpg?v=1623598200," Small batches of freshly harvested produce, directly sourced from ethically organically grown cinnamon plantations in Sri Lanka.  Used in curries, confections, in milk, seasonings. ","Ceylon Cinnamon contains calcium, potassium, manganese, phosphorus, beta-carotene. Is anti-diabetic, anti-oxidant, ant-inflammatory, anti-microbial. Good for sore throats & coughs, lowering insulin, weight loss, cardiovascular disease"
3,Freshly Ground True SriLankan / Ceylon Cinnamon Powder (Cinnamomum Verum),Rs. 259,Rs. 389,,Rs. 649,Rs. 806,,,Rs. 1560,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ceylonecinnamonpowder_x360.jpg?v=1626363969," Sourced directly from organically grown co-op farms of Sri Lanka.
Gourmet cinnamon with full oil content. No oils extracted. Natural, Non-GMO, Non-Irradiated. Vegan, Gluten free, preservative & additives free. Used to add flavour to savoury dishes, biriyanis, soups, snacks, breakfast cereals, teas and coffee.","Ceylon Cinnamon contains calcium, potassium, manganese, phosphorus, beta-carotene. Is anti-diabetic, anti-oxidant, ant-inflammatory, anti-microbial. Good for sore throats & coughs, lowering insulin, weight loss, cardiovascular disease"
4,"True Cinnamon (Cinnamomum Verum) from Western Ghats of Kerala - Organically grown, homestead produce",Rs.  324,Rs. 389,,Rs. 519,,,,Rs. 1170,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/keralacinnamon_d72b144b-26d9-4590-a15e-9b7d4930dc14_x360.jpg?v=1623165098,"Organically sourced, single origin, homestead produce from organic, fair trade certified farmers  from the Worlds first and largest cinnamon plantation in Kannur, Kerala, planted by the British. This cinnamon is not cassia. Used to flavour dishes, sweets, sauces. 
","Kerala Cinnamon Contains manganese, calcium, iron, Vitamin K.  Helps lower blood sugar, cholesterol, in weight loss, indigestion, colds and coughs."
5,Premium Quality Single Origin Kerala Cinnamon Stick,,Rs. 519,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/KeralaCinnamonStick_c4493f55-de40-42ab-bdd5-811fb3a468de_x360.jpg?v=1623648232,"Organically sourced, single origin, homestead produce from organic and fair trade certified farmers from the Worlds first and largest cinnamon plantation  in Kannur, Kerala, planted by the British.  This cinnamon is not cassia. Used to flavour dishes, sweets, sauces. 
","Kerala Cinnamon Contains manganese, calcium, iron, Vitamin K.  Helps lower blood sugar, cholesterol, in weight loss, indigestion, colds and coughs."
6,Fresh ground True Cinnamon (Cinnamomum Verum) - Produce of Kerala,Rs. 259,Rs.  520,,Rs. 584,Rs. 806,,,Rs. 1560,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/keralacinnamonpowder_x360.jpg?v=1624952358,"True Cinnamon of finest quality, organically grown, single origin, homestead produce of fair trade certified farmers in Wayanad, Kerala
Fresh cinnamon bark is handpicked, carefully sorted, shade- dried,  powdered fine and packed in lock glass jars/tins to retain maximum flavour.
This cinnamon powder is true, and not cassia. Used in desserts, for spicing dishes, flavouring sweets. 
","Kerala Cinnamon Contains manganese, calcium, iron, Vitamin K.  Helps lower blood sugar, cholesterol, in weight loss, indigestion, colds and coughs."
7,Dry Turmeric - Whole  (Curcuma Longa),Rs. 389,Rs. 714,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryAlleppeyFingerTurmericwhole_1_x360.jpg?v=1623648017,"Sourced from organic and fair trade certified farmers in Wayanad, Kerala. Only local, Non-GMO, non-hybrid, pesticide, insecticide, fungicide, preservatives free.
","Kerala Turmeric Contains manganese, iron, potassium, niacin, vitamin C, fibre.  Is anti-inflammatory, antioxidant, antibacterial, antiviral, and anti-fungal. Protects against alzheimers, osteoarthritis, good for skin.

"
8,"Premium Dry Turmeric - Whole  (Single Origin, Made in small batches)",,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryTurmericWhole_x360.jpg?v=1623565919,"Premium, Organic, Limited edition Single Origin. This special edition of Alleppey finger turmeric is specially selected from the high yielding local variety  grown in Western Ghats region.
Homestead produce from an organic and fair trade farmer.  Handpicked, dried, cleaned and polished, by following permaculture to preserve the  natural ecosystem.

","Kerala Turmeric Contains manganese, iron, potassium, niacin, vitamin C, fibre.  Is anti-inflammatory, antioxidant, antibacterial, antiviral, and anti-fungal. Protects against alzheimers, osteoarthritis, good for skin.

"
9,"Fresh and Natural Turmeric Powder (Organically, Single origin produce)",Rs. 194,Rs. 259,,Rs. 389,,,Rs. 584,Rs. 714,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/turmericpowder100gm_x360.jpg?v=1624952782,"Sourced from an organic and fair trade certified farmer in Wayanad, Kerala.
Non-GMO, non- hybrid variety, free of pesticides, insecticides, fungicides, preservatives. Handpicked turmeric root washed three to four times,  sliced into pieces,  sun-dried and lastly powdered.

","Kerala Turmeric Contains manganese, iron, potassium, niacin, vitamin C, fibre.  Is anti-inflammatory, antioxidant, antibacterial, antiviral, and anti-fungal. Protects against alzheimers, osteoarthritis, good for skin.

"
10,Premium Dry Lakadong Turmeric Slices - Curcumin Content 7-8%,,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryLakadonghTurmericslices2_x360.jpg?v=1611402988,"Premium & Limited edition Single Origin, sourced from a woman organic farmer in the East Jaintia hills of Meghalaya
The worlds best turmeric variety with very high 7-8% curcumin  content.  Used to spice foods, in turmeric latte.","Lakadong Turmeric contains  potassium, sodium, manganese, vitamin C, calcium.  Is anti-inflammatory, antioxidant, antibacterial, antimicrobial, anti-depressant. Helps regulate blood pressure, cholesterol, prevent alzheimers, osteoarthritis. Good for skin, heart, digestive system.

"
