,title,price,image
0,Lakadong Chyrmit Turmeric Powder From Meghalaya | 150g,Rs. 699.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/LakadongChyrmit_{width}x.jpg?v=1611142363
1,7-9% Curcumin Lakadong Turmeric Powder,From Rs. 550.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Lakadong-500g---A_{width}x.jpg?v=1609248974
2,Lakadong Ker - A Golden Milk Blend from Meghalaya | 80 g,Rs. 509.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/ker2-min_{width}x.jpg?v=1631104987
3,Lakadong Mirch - Bhut Jolokia Spicy blend from Meghalaya,Rs. 499.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/LakadongMirchFront-min_{width}x.jpg?v=1618060657
4,Lakadong Gold Turmeric Tea Blend from Meghalaya | 50g,Rs. 499.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/LakadongGoldfront-min_{width}x.jpg?v=1618060603
5,7-9% Lakadong Dried Turmeric Slices,Rs. 599.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Front_f9b75cc0-3353-47fc-b4fa-f615ad54e749_{width}x.jpg?v=1631094951
6,Ing Makhir Ginger Powder,From Rs. 499.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Ing_Makhir_{width}x.png?v=1651225914
7,Ing Makhir Fit Tea | 100g,Rs. 400.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Fittea-min_{width}x.jpg?v=1618054736
8,Rejuvenate Me Tea | 100g,Rs. 314.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Rejuvenatemefrontproduct_{width}x.jpg?v=1618052951
9,Valerian Tea | 125g,Rs. 509.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Valeriantea120gFrontProduct-min_{width}x.jpg?v=1631514426
10,Ing Makhir Fit Tea | 100g,Rs. 400.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Fittea-min_{width}x.jpg?v=1618054736
11,Meghalaya Masala Chai | 200g,Rs. 399.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Front_4f8a22ae-c3b1-46eb-a80e-1058748d5e20_{width}x.jpg?v=1631118650
12,Earthy Tropical Green Tea | 100g,Rs. 349.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Front_337549fa-37a0-470f-818f-d01d43019b6c_{width}x.jpg?v=1631101168
13,Rejuvenate Me Tea | 100g,Rs. 314.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Rejuvenatemefrontproduct_{width}x.jpg?v=1618052951
14,Meghalaya's Herbal Teas,Rs. 999.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/MeghalayaHerbalTeas_{width}x.jpg?v=1626446077
15,Bay Leaf Turmeric Chai from Meghalaya,From Rs. 499.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/Bay-leaf-turmeric-chai-100g-Product_a466e35c-6158-44fd-877f-9878139302fd_{width}x.jpg?v=1610552617
16,Ginger Kadha | 100g,Rs. 349.00,//cdn.shopify.com/s/files/1/0054/9811/0003/products/GingerKadha_{width}x.jpg?v=1632377286
